"sales","income","rate","unemp"
3054,18898,13.02,8.53
3564.2,18956,12.96,7.4
3149.9,19047,13.02,7.6
3201.7,19109,13.06,7.33
3424.4,19059,12.95,8.23
4089.5,19250,13,6.93
3446.3,19490,12.87,6.8
3521.7,19810,13.06,6.3
3385.9,19904,12.94,6.87
4390.5,20050,13.11,5.83
3600,20135,13.3,6
3604.6,20235,13.42,5.57
3603.5,20398,13.59,6.3
3753.3,20169,13.65,5.57
3306.4,20204,13.76,5.83
3095.2,20230,14.39,5.63
3149.4,20241,14.69,6.77
2707.8,19892,16.31,7.2
2662,20074,15.33,7.57
2678.3,20413,15.54,7.03
2884.6,20316,17.14,7.97
2776.4,20266,17.48,7.27
2712.1,20624,18.52,7.27
2190.5,20611,19.21,7.9
2564.1,20592,18.76,9.5
2712.8,20665,18.9,9.37
2467.2,20723,18.93,9.7
2613.2,20765,17.99,10.27
2670.2,20901,17.47,11.17
3282.6,21006,16.57,10
2975,21270,16.28,9.13
3179.3,21678,16.39,8.17
3511,22078,16.16,8.43
3939.3,22400,16.35,7.4
3345.7,22652,16.75,7.3
3409.1,22783,16.63,6.97
3728.5,22687,16.21,7.77
4133,23075,16.09,7.2
4074.3,22938,15.84,7.07
3489.3,23144,15.61,6.73
3632.3,23386,15.52,7.53
4273.1,23647,14.89,7.1
4387,23755,14.7,6.83
3751.9,23741,14.19,6.5
3385.3,23890,14.1,7.13
4026.5,23609,14,6.2
3982.9,23978,14.22,5.87
3480.4,24239,14.58,5.57
3858,24543,14.46,6.13
4182.9,24744,14.4,5.4
3760.8,24917,14.81,5.37
3641.5,25095,15.06,5.07
3472.8,25354,15.22,5.6
4036.3,25222,15.65,5.2
3906.8,25325,15.45,5.17
3104.8,25459,15.42,5.1
3461.4,25615,15.27,5.8
3790.4,25688,15.41,5.3
3514.7,25607,15.46,5.57
3093.2,25315,15.69,5.8
2815.8,25290,15.42,7.2
3351.3,25384,15.16,6.73
3254.1,25386,15.24,6.63
2888.2,25516,14.88,6.7
2931,25987,14.39,8.03
3546.9,26171,14.28,7.5
3254,26189,13.94,7.47
3125.4,26188,13.55,7.03
3056.4,26258,13.57,7.73
3916.1,26224,13.63,6.97
3512.4,26150,13.45,6.67
3397.8,26238,13.22,6.23
3611.1,26351,12.89,7.07
4107.1,26552,12.96,6.1
3710.1,26624,13.33,5.9
3616.6,26912,13.59,5.27
3466.7,27096,14.1,5.93
4013.1,27080,14.03,5.63
3742.9,27235,13.84,5.63
3505.7,27308,13.8,5.23
3605.8,27501,13.63,6.03
4184.4,27685,13.52,5.43
3792.1,27815,13.37,5.23
3514.8,27871,13.62,4.97
3633.3,28077,13.46,5.7
4002.5,28236,13.81,4.9
3869.1,28477,13.84,4.83
3617,28796,14.5,4.37
3529.9,29334,14.06,5.07
4431.4,29662,13.76,4.33
3736.6,29871,13.48,4.53
3845.1,30023,13.75,4.1
3909.9,30216,13.39,4.63
4596.2,30208,13.26,4.2
4364.5,30314,13.38,4.27
4023.1,30668,13.52,3.77
4368.1,31192,13.76,4.4
4729,31438,13.89,3.87
4446,31719,13.84,4.03
3806.6,31742,14.1,3.67
4114.6,31940,13.7,4.6
4565.7,31836,13.3,4.33
4084.5,32504,13.25,4.77
4357.6,32020,12.62,5.23
3930.2,32728,12.86,6.17
4485.1,32821,12.57,5.73
4453.8,32696,12.49,5.67
3947.1,32773,12.24,5.53
3753.9,32796,11.7,6.37
4455.5,33197,12.19,6.03
4439.7,33657,11.97,6.03
3990,33713,11.97,5.53
3899.7,33893,11.88,6.1
4488.2,34152,11.8,5.5
4412.7,34247,12.02,5.4
4066.1,34589,11.84,5.13
3883.8,34183,12.01,5.63
4669,34380,12.05,5
4611.2,34469,12.22,4.97
3784.3,34666,11.95,4.67
3922.7,35380,12.18,5
4424.6,35354,12.58,4.57
4322.5,35363,12.4,4.67
3834.1,35734,12.49,4.23
3875.4,35889,12.32,4.8
4341.3,35878,12.53,4.43
4085.9,35880,12.51,4.67
3786.3,35819,12.16,4.57
3562.3,35998,11.43,5.27
3821.6,36677,11.14,5.23
3341.4,35747,11.48,6.03
2469.6,35892,11.44,6.57
2197.1,35752,11.05,8.8
2598.8,35932,11.25,9.13
2999.9,35456,10.89,9.6
2606.4,35328,11.2,9.53
2538.6,35293,10.83,10.4
3062.5,35686,11,9.47
2997.3,35791,10.71,9.47
2956.4,35967,10.94,9.13
3057.3,36346,10.98,9.5
3250.4,36228,11.37,8.9
3177.9,36347,10.8,9.07
3256.2,36299,10.36,8.33
3465,36832,10.89,8.63
3793.4,37054,10.94,8
3597.4,36963,10.37,8.13
3577.4,37860,10.64,7.5
3687.5,36226,10.12,8.07
4120.4,36380,10.34,7.4
3929.2,36522,10.13,7.33
3793.1,36528,10.22,6.7
3741.2,36872,10.09,6.93
4402,37289,9.57,6.1
4244.8,37587,10.73,6.17
4064.1,37907,10.47,5.47
3942.7,38033,9.85,5.83
4549.6,38336,9.69,5.3
4502.9,38571,9.8,5.23
4401.1,38785,9.66,4.8
4072.2,38927,10.03,5.2
4521.5,39148,9.65,4.77
4452.6,39354,9.64,4.97
4418.4,39477,9.45,4.53
